",""0,00001 "",""0,00005 "",""0,0001 "",""0,0005 "",""0,001"",""0,002"",""0,003"",""0,004"",""0,005"",0.006,"
"1,""0,00001"",""0,00005"",""0,00010 "",""0,00050 "",""0,0010"",""0,0020"",""0,0030"",""0,0040"",""0,0050"",""0,0060"",1"
"2,""0,0045"",""0,0101"",""0,0142"",""0,0321"",""0,0458"",""0,0653"",""0,0806"",""0,0937"",""0,1054"",""0,1161"",2"
"3,""0,0397"",""0,0685"",""0,0868"",""0,1517"",""0,1938"",""0,2487"",""0,2885"",""0,3210"",""0,3490"",""0,3740"",3"
"4,""0,1285"",""0,1954"",""0,2347"",""0,3624"",""0,4393"",""0,5350"",""0,6021"",""0,6557"",""0,7012"",""0,7412"",4"
"5,""0,2753"",""0,3885"",""0,4520"",""0,6486"",""0,7621"",""0,8999"",""0,9945"",""1,0692"",""1,1320"",""1,1870"",5"
"6,""0,4757"",""0,6392"",""0,7282"",""0,9957"",""1,1459"",""1,3252"",""1,4468"",""1,5421"",""1,6218"",""1,6912"",6"
"7,""0,7237"",""0,9392"",""1,0541"",""1,3922"",""1,5786"",""1,7984"",""1,9463"",""2,0614"",""2,1575"",""2,2408"",7"
"8,""1,0132"",""1,2812"",""1,4219"",""1,8297"",""2,0513"",""2,3105"",""2,4837"",""2,6181"",""2,7299"",""2,8266"",8"
"9,""1,3391"",""1,6593"",""1,8256"",""2,3016"",""2,5575"",""2,8549"",""3,0526"",""3,2056"",""3,3326"",""3,4422"",9"
"10,""1,6970"",""2,0688"",""2,2601"",""2,8028"",""3,0920"",""3,4265"",""3,6480"",""3,8190"",""3,9607"",""4,0829"",10"
"11,""2,0831"",""2,5058"",""2,7216"",""3,3294"",""3,6511"",""4,0215"",""4,2661"",""4,4545"",""4,6104"",""4,7447"",11"
"12,""2,4944"",""2,9670"",""3,2069"",""3,8781"",""4,2314"",""4,6368"",""4,9038"",""5,1092"",""5,2789"",""5,4250"",12"
"13,""2,9283"",""3,4499"",""3,7133"",""4,4465"",""4,8305"",""5,2700"",""5,5588"",""5,7807"",""5,9638"",""6,1214"",13"
"14,""3,3826"",""3,9522"",""4,2387"",""5,0324"",""5,4464"",""5,9190"",""6,2290"",""6,4670"",""6,6632"",""6,8320"",14"
"15,""3,8553"",""4,4721"",""4,7811"",""5,6339"",""6,0772"",""6,5822"",""6,9129"",""7,1665"",""7,3755"",""7,5552"",15"
"16,""4,3448"",""5,0079"",""5,3389"",""6,2496"",""6,7215"",""7,2582"",""7,6091"",""7,8780"",""8,0995"",""8,2898"",16"
"17,""4,8498"",""5,5582"",""5,9109"",""6,8782"",""7,3781"",""7,9457"",""8,3164"",""8,6003"",""8,8340"",""9,0347"",17"
"18,""5,3690"",""6,1220"",""6,4958"",""7,5186"",""8,0459"",""8,6437"",""9,0339"",""9,3324"",""9,5780"",""9,7889"",18"
"19,""5,9013"",""6,6980"",""7,0927"",""8,1698"",""8,7239"",""9,3514"",""9,7606"",""10,0734 "",""10,3308 "",""10,5517 "",19"
"20,""6,4458"",""7,2854"",""7,7005"",""8,8310"",""9,4115"",""10,0680 "",""10,4958 "",""10,8227 "",""11,0916 "",""11,3224 "",20"
"21,""7,0015"",""7,8834"",""8,3186"",""9,5014"",""10,1077 "",""10,7929 "",""11,2389 "",""11,5797 "",""11,8598 "",""12,1002 "",21"
"22,""7,5679"",""8,4913"",""8,9462"",""10,1805 "",""10,8121 "",""11,5253 "",""11,9893 "",""12,3436 "",""12,6349 "",""12,8848 "",22"
"23,""8,1441"",""9,1084"",""9,5826"",""10,8675 "",""11,5241 "",""12,2649 "",""12,7465 "",""13,1142 "",""13,4164 "",""13,6756 "",23"
